Proteome Id	Organism	Organism Id	Protein count
UP000008767	Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970) (CCHFV)	652961	4
UP000008993	Rubella virus (strain RN-UK86) (RUBV)	376267	2
UP000009152	Simian immunodeficiency virus (isolate MB66) (SIV-cpz) (Chimpanzee immunodeficiency virus)	388911	9
UP000009156	Ground squirrel hepatitis virus (strain 27) (GSHV)	10406	5
UP000009251	Human papillomavirus type 16	333760	9
UP000009255	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	211044	13
UP000009262	Latino mammarenavirus (isolate Rat/Bolivia/MARU 1924/1965) (LATV)	3052311	4
UP000019377	Kalmanozyma brasiliensis (strain GHG001) (Yeast) (Pseudozyma brasiliensis)	1365824	5650
UP000028924	Auxenochlorella protothecoides (Green microalga) (Chlorella protothecoides)	3075	7001
UP000029742	Salivirus A (isolate Human/Nigeria/NG-J1/2007) (SV-A)	651733	1
UP000029753	Cosavirus A (isolate Human/Pakistan/0553/-) (HCoSV-A)	1554483	1
UP000031515	Chaetura pelagica (Chimney swift) (Hirundo pelagica)	8897	3162
UP000035740	Beta vulgaris subsp. vulgaris (Beet)	3555	7679
UP000052976	Corvus brachyrhynchos (American crow)	85066	13621
UP000053240	Papilio machaon (Old World swallowtail butterfly)	76193	15461
UP000053268	Papilio xuthus (Asian swallowtail butterfly)	66420	15265
UP000053283	Nipponia nippon (Crested ibis) (Ibis nippon)	128390	14132
UP000053286	Aptenodytes forsteri (Emperor penguin)	9233	13704
UP000053584	Struthio camelus australis	441894	13815
UP000053605	Opisthocomus hoazin (Hoatzin) (Phasianus hoazin)	30419	12773
UP000053760	Cuculus canorus (common cuckoo)	55661	13582
UP000053825	Habropoda laboriosa	597456	12781
UP000053875	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	118200	13097
UP000054064	Buceros rhinoceros silvestris	175836	10603
UP000054081	Pygoscelis adeliae (Adelie penguin)	9238	12848
UP000054308	Calypte anna (Anna's hummingbird) (Archilochus anna)	9244	13267
UP000054498	Monoraphidium neglectum	145388	16738
UP000054557	Zika virus (ZIKV)	64320	1
UP000070249	Leucoagaricus sp. SymC.cos	1714833	12747
UP000107240	Mammarenavirus lunaense	3052315	2
UP000113911	Sin Nombre orthohantavirus (SNV) (Sin Nombre virus)	3052499	3
UP000116820	HIV-1 M_02CD.MBTB047	576902	6
UP000119554	Aichi virus (strain Human/A846/88/1989) (AiV) (Aichi virus (strain A846/88))	650132	1
UP000120202	HIV-1 M_02CD.LBTB084	576901	6
UP000122295	Human immunodeficiency virus type 1 02CD.LBR024	467352	4
UP000126245	Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1)	11678	9
UP000130871	Nipah virus	3052225	8
UP000132221	rabovirus A1	2773293	1
UP000139997	Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012) (MERS-CoV) (Betacoronavirus England 1)	1263720	10
UP000140495	HIV-1 M_97CD.KTB119	576897	6
UP000144085	HIV-1 M_97CD.KFE267	576898	6
UP000164562	HIV-1 M_02CD.KS069	576900	6
UP000170516	HIV-1 M_02CD.LBTB032	576899	6
UP000180448	Lake Victoria marburgvirus (strain Musoke-80) (MARV) (Marburg virus (strain Kenya/Musoke/1980))	33727	7
UP000201106	Turnip mosaic virus (strain Japanese) (TuMV)	12230	2
UP000201130	SFTS phlebovirus (isolate SFTSV/Human/China/HB29/2010) (Severe fever with thrombocytopenia virus)	992212	5
UP000203778	Heartland virus (HTRV)	1216928	4
UP000204348	Andes orthohantavirus (ANDV) (Andes virus)	1980456	3
UP000207613	Solenopsis invicta virus 3 (SINV-3)	631345	2
UP000218209	Porphyra umbilicalis (Purple laver) (Red alga)	2786	13469
UP000228934	Aquarana catesbeiana (American bullfrog) (Rana catesbeiana)	8400	28218
UP000243308	Podila verticillata NRRL 6337	1069443	1514
UP000243699	Tula orthohantavirus (TULV) (Tula virus)	3052503	4
UP000265663	Pyrenophora seminiperda CCB06	1302712	8702
UP000274350	Undibacterium piscinae	2495591	3332
UP000464024	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	2697049	17
UP000000396	Apple stem grooving virus (strain P-209) (ASGV)	36402	2
UP000000668	Bovine enteric calicivirus Newbury agent-1 (isolate Bovine/UK/Newbury1/1976) (BEC)	331642	2
UP000000675	Satsuma dwarf virus (isolate Satsuma mandarin/Japan/S-58/1977) (SDV)	650481	2
UP000000835	Feline coronavirus (strain FIPV WSU-79/1146) (FCoV)	33734	10
UP000001119	Rotavirus A (isolate RVA/Monkey/South Africa/SA11-H96/1958/G3P5B[2]) (RV-A) (Simian Agent 11 (isolate SI/South Africa/H96/58))	450149	12
UP000001207	Bacillus phage phi29 (Bacteriophage phi-29)	2884424	27
UP000001398	Human metapneumovirus (strain CAN97-83) (HMPV)	694067	9
UP000001667	Barley stripe mosaic virus (BSMV)	12327	7
UP000001671	Southern bean mosaic virus (isolate Bean/United States/Arkansas) (SBMV)	652938	4
UP000002127	Escherichia phage MS2 (Bacteriophage MS2)	12022	4
UP000002331	Mumps virus (strain Miyahara vaccine) (MuV)	11171	8
UP000002472	Human respiratory syncytial virus B (strain B1)	79692	11
UP000002476	Bunyamwera virus (BUNV)	35304	4
UP000002485	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	284812	5117
UP000002502	Cucumber mosaic virus (strain FNY) (CMV)	12307	5
UP000005893	Enterobacteria phage phiX174 (Isolate Sanger) (Bacteriophage phi-X174)	1217068	10
UP000006543	Subterranean clover stunt virus (strain F) (SCSV)	291607	8
UP000006715	Potato mop-top virus (isolate Potato/Sweden/Sw) (PMTV)	652839	7
UP000006923	Cherry rasp leaf virus (isolate Potato/United States) (CRLV)	650137	2
UP000006934	Australian bat lyssavirus (isolate Bat/AUS/1996) (ABLV)	446561	5
UP000007049	Sapporo virus (isolate GI/Human/Germany/pJG-Sap01) (Hu/Dresden/pJG-Sap01/DE)	291175	3
UP000007081	Walleye dermal sarcoma virus (WDSV)	39720	6
UP000007191	Sendai virus (strain Hamamatsu) (SeV)	302271	8
UP000007206	European bat lyssavirus 2 (strain Human/Scotland/RV1333/2002) (EBLV2)	453116	5
UP000007218	Sunn-hemp mosaic virus (SHMV) (TMV strain cowpea)	12240	3
UP000007232	Parainfluenza virus 5 (strain W3) (PIV5) (Simian virus 5)	11208	8
UP000007250	Blotched snakehead virus (BSNV) (Channa lucius virus)	311176	3
UP000007311	Sendai virus (strain Ohita) (SeV)	302272	7
UP000007541	Spring viremia of carp virus (Rhabdovirus carpia)	696863	5
UP000007621	Canary circovirus (CaCV)	142661	2
UP000007623	Vesicular stomatitis Indiana virus (strain 94GUB Central America) (VSIV)	434489	6
UP000007626	Vesicular stomatitis New Jersey virus (strain Ogden subtype Concan) (VSNJV)	11283	6
UP000007781	Maize streak virus genotype D (isolate Raw) (MSV)	268343	4
UP000007793	Influenza A virus (strain A/USSR/90/1977 H1N1)	381516	12
UP000008026	Tacaribe virus (strain Franze-Fernandez) (TCRV)	928313	4
UP000008286	Influenza C virus (strain C/Ann Arbor/1/1950)	11553	8
UP000008381	Irkut virus (IRKV)	249583	5
UP000008434	Influenza A virus (strain A/Duck/Czechoslovakia/1956 H4N6)	385590	12
UP000008479	Murine polyomavirus (strain A2) (MPyV)	10636	5
UP000008699	Measles virus (strain Ichinose-B95a) (MeV) (Subacute sclerose panencephalitis virus)	645098	8
UP000008768	Bunyavirus La Crosse (isolate Human/United States/L78/1978)	796210	4
UP000008771	Hendra virus (isolate Horse/Autralia/Hendra/1994)	928303	9
UP000008926	European bat lyssavirus 1 (strain Bat/Germany/RV9/1968) (EBLV1)	453115	5
UP000009267	Sabia mammarenavirus (isolate Human/Brasil/SPH114202/1990) (SABV) (Sabi mammarenavirus)	3052299	4
UP000009268	Whitewater Arroyo mammarenavirus (isolate Rat/United States/AV 9310135/1995) (WWAV)	3052331	6
UP000029744	Passerivirus A1 (isolate Turdus pallidus/Hong Kong/00356/2007) (PasV-A1)	1554479	1
UP000029746	Oscivirus A1 (isolate Oriental magpie robin/Hong Kong/10717/2010) (OsV-A1)	1554480	1
UP000029749	Megrivirus A (isolate Turkey/USA/124/2008) (Turkey hepatitis virus 2993D (isolate 124))	980964	1
UP000029754	Avisivirus A (isolate Turkey/USA/USA-IN1/2010) (TuASV)	1554484	1
UP000053238	Phalacrocorax carbo (Great cormorant) (Pelecanus carbo)	9209	8990
UP000053537	Acanthisitta chloris (rifleman)	57068	9650
UP000053661	Tauraco erythrolophus (Red-crested turaco)	121530	10099
UP000096247	Influenza A virus (A/Netherlands/219/2003(H7N7))	680693	8
UP000103415	Rubella virus (RUBV)	11041	2
UP000107373	HIV-1 CRF03_AB	540995	9
UP000117386	Influenza A virus (A/chicken/Korea/S21/2004(H9N2))	526591	10
UP000118579	SARS coronavirus PUMC02	253434	4
UP000119525	Influenza A virus (A/green-winged teal/California/JN1114/2006(H4N6))	686558	7
UP000119623	WU polyomavirus (WUPyV)	440266	4
UP000125433	Influenza A virus (A/swine/Korea/S452/2004(H9N2))	300749	8
UP000130309	Simian virus 12	46771	1
UP000131152	Influenza A virus (strain A/Goose/Guangdong/1/1996 H5N1 genotype Gs/Gd)	93838	13
UP000135044	Squirrel monkey polyomavirus	452475	6
UP000135375	Influenza A virus (A/blue-winged teal/Alberta/134/1989(H3N6))	1093360	10
UP000135747	Human immunodeficiency virus	12721	9
UP000140113	Primate bocaparvovirus 1 (strain Human bocavirus 1 type 1) (HBoV1) (Human bocavirus type 1)	689403	3
UP000140596	Influenza A virus (A/ruddy turnstone/Delaware/24/1990(mixed))	1093550	11
UP000140696	Influenza A virus (A/northern shoveler/California/JN1447/2007(H7N2))	686561	8
UP000141821	Feline coronavirus	12663	6
UP000145597	Woodchuck hepatitis virus	35269	4
UP000148295	HIV-1 M_97CD.MBFE250	576903	6
UP000149957	Murine coronavirus	694005	10
UP000156119	HIV-1 M_97CD.KMST91	576904	6
UP000157907	Influenza A virus (A/chicken/Gansu/2/99(H9N2))	412150	8
UP000159700	HIV-1 CRF04_cpx	540992	8
UP000166289	Nodamura virus (strain Mag115) (NoV)	914672	3
UP000168380	Dabie bandavirus (Severe fever with thrombocytopenia virus) (Huaiyangshan banyangvirus)	1003835	4
UP000170142	Hazara virus (isolate JC280)	11597	3
UP000170559	Mammarenavirus lassaense	3052310	4
UP000172257	Bear Canyon mammarenavirus (isolate Mouse/United States/AV A0070039/2000) (BCNV)	3052298	4
UP000172871	Tamiami mammarenavirus (isolate Rat/United States/W 10777/1964) (TAMV)	3052329	4
UP000175084	Rat coronavirus	31632	10
UP000180335	Porcine circovirus 1 (PCV1)	133704	2
UP000185273	Bovine papillomavirus type 5	2491661	7
UP000201514	Pichinde mammarenavirus (PICV) (Pichind mammarenavirus)	3052300	4
UP000202720	Rose yellow mosaic virus	1048434	1
UP000203656	limnipivirus A1	2870351	1
UP000204017	Isfahan virus (ISFV)	290008	5
UP000243649	Wuhan Ant Virus	1608100	1
UP000272025	Sodiomyces alkalinus F11	1314773	9397
UP000000278	Dugbe virus (isolate ArD44313) (DUGV)	766194	3
UP000000280	Tobacco mosaic virus (strain OM) (TMV)	12251	1
UP000000344	Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strain WR))	10254	218
UP000000351	Saccharomyces cerevisiae virus L-A (ScV-L-A) (ScVL1)	11008	2
UP000000358	Alfalfa mosaic virus (strain 425 / isolate Leiden)	12322	4
UP000000372	Salmonella phage IKe (Bacteriophage IKe)	10867	9
UP000000394	Indian citrus ringspot virus (isolate Kinnow mandarin/India/K1/1996) (ICRSV)	651357	6
UP000000395	Sclerotinia sclerotiorum debilitation-associated virus (isolate Sclerotinia/China/Xie/-) (SsDRV)	686987	1
UP000000398	Botrytis virus F (isolate Botrytis cinerea/New Zealand/Howitt/2001) (BotV-F)	686946	2
UP000000400	Maize rayado fino virus (isolate Costa Rica/Guapiles) (MRFV)	652669	2
UP000000403	Heterosigma akashiwo RNA virus (strain SOG263) (HaRNAV)	239720	1
UP000000404	Duck hepatitis A virus (strain Duck/Taiwan/03D/2003) (DHAV)	693992	1
UP000000407	Porcine sapelovirus (strain V13) (PSV) (Porcine enterovirus 8)	1002921	1
UP000000408	Porcine teschovirus 1 (isolate Pig/United Kingdom/F65/1967) (PTV-1) (Porcine teschovirus 1 (isolate F65))	650136	1
UP000000411	Pelargonium zonate spot virus (isolate Tomato/Italy/1982) (PZSV) (Pelargonium zonate spot virus (isolate Tomato))	650488	4
UP000000470	Porcine circovirus 2 (PCV2)	85708	3
UP000000477	Papaya mosaic potexvirus (PMV)	12181	7
UP000000504	Moranella endobia (strain PCIT)	903503	405
UP000000559	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	6036
UP000000562	Wigglesworthia glossinidia brevipalpis	36870	617
UP000000579	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	1704
UP000000601	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	224915	507
UP000000669	Buchnera aphidicola subsp. Cinara cedri (strain Cc)	372461	362
UP000000677	Potato virus M (strain Russian) (PVM)	12168	6
UP000000678	Apple stem pitting virus (isolate PA66) (ASPV)	651356	5
UP000000728	Enterobacteria phage SP (Bacteriophage SP)	12027	4
UP000000807	Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37) (Mycoplasmoides genitalium)	243273	483
UP000000825	Tomato torrado virus (isolate Solanum lycopersicum/Spain/PRIToTV0301/-) (ToTV)	686948	3
UP000000831	Nudaurelia capensis beta virus (isolate Pine emperor moth/South Africa) (NbetaV)	652108	2
UP000000840	Escherichia phage T7 (Bacteriophage T7)	10760	57
UP000000938	Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5)	295027	168
UP000000942	Human herpesvirus 8 type P (isolate GK18) (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	868565	85
UP000001100	Beet necrotic yellow vein virus (isolate Japan/S) (BNYVV)	652670	9
UP000001104	Saccharomyces 20S RNA narnavirus (ScNV-20S)	186772	1
UP000001189	Equine herpesvirus 1 (strain Ab4p) (EHV-1) (Equine abortion virus)	31520	75
UP000001584	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	83332	3995
UP000001649	Brome mosaic virus (BMV)	12302	4
UP000001669	Tobacco rattle virus (isolate PpK20) (TRV)	652939	6
UP000001670	Poinsettia latent virus (isolate Euphorbia pulcherrima/Germany/Siepen/2005) (PnLV) (Poinsettia cryptic virus)	686943	4
UP000001674	Aquareovirus G (isolate American grass carp/USA/PB01-155/-) (AQRV-G)	648234	12
UP000001711	Escherichia phage lambda (Bacteriophage lambda)	2681611	66
UP000001719	Pseudomonas phage Pf3 (Bacteriophage Pf3)	10872	9
UP000001806	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	107806	572
UP000001832	Qbeta virus (strain MX1)	2789016	4
UP000001833	Escherichia phage If1 (Bacteriophage If1)	10868	10
UP000002126	Enterobacteria phage GA (Bacteriophage GA)	12018	4
UP000002137	Escherichia phage alpha3 (Bacteriophage alpha-3)	10849	10
UP000002138	Pseudomonas phage PP7 (Bacteriophage PP7)	12023	4
UP000002143	Enterobacteria phage PRD1 (Bacteriophage PRD1)	10658	30
UP000002325	Rice yellow stunt virus (RYSV) (Rice transitory yellowing virus)	59380	7
UP000002427	Baumannia cicadellinicola subsp. Homalodisca coagulata	374463	595
UP000002471	Avian metapneumovirus (isolate Canada goose/Minnesota/15a/2001) (AMPV)	652954	9
UP000002610	Pseudomonas phage phi6 (Bacteriophage phi-6)	2928686	13
UP000002611	Escherichia phage Mu (Bacteriophage Mu)	2681603	56
UP000005225	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)	30611	19931
UP000006370	Reovirus type 2 (strain D5/Jones) (T2J) (Mammalian orthoreovirus 2)	10885	11
UP000006674	Tomato spotted wilt virus (strain Brazilian Br-01) (TSWV)	36413	5
UP000006676	European mountain ash ringspot-associated virus (isolate Sorbus aucuparia) (EMARAV)	1980426	4
UP000006709	Carnation mottle virus (isolate China/Shanghai) (CarMV)	652111	4
UP000006811	Buchnera aphidicola (Cinara tujafilina)	261317	359
UP000006840	Psittacid herpesvirus 1 (isolate Amazon parrot/-/97-0001/1997) (PsHV-1) (Pacheco's disease virus)	670426	71
UP000006847	Murine polyomavirus (strain A3) (MPyV)	157703	5
UP000006933	Citrus leaf blotch virus (isolate Nagami kumquat/France/SRA-153/1984) (CLBV)	686981	3
UP000007019	Murine minute virus (strain MVM prototype) (MVM) (Murine minute virus (strain MVM(p)))	648235	8
UP000007219	Snakehead rhabdovirus (SHRV)	103603	6
UP000007225	Strawberry mild yellow edge-associated virus (SMYEaV)	12187	6
UP000007252	Human picobirnavirus (strain Human/Thailand/Hy005102/-) (PBV)	647332	3
UP000007399	Tomato aspermy virus (TAV)	12315	7
UP000007464	Blochmannia vafer (strain BVAF)	859654	587
UP000007540	Taro vein chlorosis virus (TAVCV)	2749935	6
UP000007611	Xanthomonas phage phiLf (Bacteriophage phi-Lf)	28365	8
UP000007639	Epstein-Barr virus (strain AG876) (HHV-4) (Human herpesvirus 4)	82830	79
UP000007662	Bluetongue virus 10 (isolate USA) (BTV 10)	10900	11
UP000007663	Rotavirus X (strain RVX/Human/China/NADRV-J19/1997/GXP[X]) (RV ADRV-N) (Rotavirus (isolate novel adult diarrhea rotavirus-J19))	335103	11
UP000007664	Rotavirus C (isolate RVC/Human/United Kingdom/Bristol/1989) (RV-C)	31567	11
UP000007784	Mungbean yellow mosaic virus (strain Vigna) (MYMV)	223295	8
UP000007794	Blochmannia pennsylvanicus (strain BPEN)	291272	610
UP000008236	Milk vetch dwarf virus (isolate N) (MDV)	291605	12
UP000008447	Cucumber green mottle mosaic virus (strain watermelon SH) (CGMMV)	12236	3
UP000008448	Chandipura virus (strain I653514) (CHPV)	11273	7
UP000008476	Bovine polyomavirus (BPyV) (Bos taurus polyomavirus 1)	1891754	5
UP000008592	Lettuce necrotic yellows virus (isolate 318) (LNYV)	928304	6
UP000008593	Maize mosaic virus (isolate Maize/United States/Reed/2005) (MMV)	928305	6
UP000008651	Red clover necrotic mosaic virus (RCNMV)	12267	3
UP000008665	Faba bean necrotic yellows virus (isolate Egyptian EV1-93) (FBNYV)	291603	11
UP000008666	Faba bean necrotic yellows virus (isolate SV292-88) (FBNYV)	291604	11
UP000008687	Potato virus X (strain X3) (PVX)	12185	5
UP000008689	Lolium latent virus (isolate Lolium/USA/US1/-) (LoLV)	686945	6
UP000008769	Bean golden yellow mosaic virus (isolate Puerto Rico-Japan) (BGYMV)	222449	9
UP000008772	Infectious salmon anemia virus (isolate Atlantic salmon/Norway/810/9/99) (ISAV)	652965	10
UP000008788	Canine oral papillomavirus (strain Y62) (COPV)	766192	7
UP000008789	Phocoena spinipinnis papillomavirus (isolate Burmeister's porpoise/Peru/PsPV1) (PsPV)	654916	8
UP000008791	Equus caballus papillomavirus 1 (strain Olson) (EcPV-1)	654918	7
UP000008865	Narcissus mosaic virus (NMV)	12180	6
UP000008874	Miscanthus streak virus (isolate 91) (MiSV)	268776	5
UP000008992	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	10360	148
UP000009087	Enterobacteria phage T4 (Bacteriophage T4)	10665	273
UP000009116	Human papillomavirus 31	10585	9
UP000029743	Rosavirus A2 (isolate Human/Gambia/GA7403/2008) (RoV-A2)	1554474	1
UP000029745	Pasivirus A1 isolate (isolate Swine/France/Pasivirus 1/2010) (SPaV1) (Swine pasivirus 1)	1554498	1
UP000029747	Mosavirus A2 (isolate Coracias garrulus/Hungary/SZAL6-MoV/2011) (MoV-A2)	1554481	1
UP000029748	Mischivirus A (isolate Miniopterus schreibersii/China/MsPV-1/2010) (MscPV1)	1195365	1
UP000029750	Hunnivirus A (isolate Sheep/Hungary/OHUV1/2009) (HuV-A2) (Ovine hungarovirus OHUV1)	1168173	1
